ISBT Product Description codes,Long Description
E7459,Red Blood Cells | CPD>SAGM/xx/refg | Open | Irradiated  |Res Leu: <1.2log9 | Plasma added
E7460,Red Blood Cells | CPD>SAGM/xx/refg | Irradiated  |Res Leu: <1log6 | Plasma added
E7461,Red Blood Cells | CPD>SAGM/xx/refg | Open |Irradiated | Res Leu: <1log6 | Plasma added
E7432,Washed Red Blood Cells|AS3/XX/refg|ResLeu:<1.2log9
E7433,Washed Red Blood Cells|AS3/XX/refg|Open|ResLeu:<1.2log9
E7434,Washed Red Blood Cells|AS3/XX/refg|ResLeu:<1log6
E7435,Washed Red Blood Cells|AS3/XX/refg|Open|ResLeu:<1log6
E6507,Whole Blood|CPD/350mL/refg
E7424,Whole Blood|CPD/350mL/refg|Irradiated
E6508,Whole Blood|CPD/350mL/refg|ResLeu:<1log6
E6509,Whole Blood|CPD/350mL/refg|Irradiated|ResLeu:<1log6
E0009,Whole Blood|CPD/450mL/refg
E0017,Whole Blood|CPD/450mL/refg|Irradiated
E4209,Whole Blood|CPD/450mL/refg|ResLeu:<1log6
E5584,Whole Blood|CPD/450mL/refg|Irradiated|ResLeu:<1log6
E5128,Whole Blood|CPDA-1/350mL/refg
E5356,Whole Blood|CPDA-1/350mL/refg|ResLeu:<1log6
E5357,Whole Blood|CPDA-1/350mL/refg|Irradiated|ResLeu:<1log6
E0053,Whole Blood|CPDA-1/450mL/refg
E0061,Whole Blood|CPDA-1/450mL/refg|Irradiated
E4396,Whole Blood|CPDA-1/450mL/refg|ResLeu:<1log6
E5064,Whole Blood|CPDA-1/450mL/refg|Irradiated|ResLeu:<1log6
